panel,prompt,arm,trait,measure,value,ci_lo,ci_hi
C,forced,goodness,warmth,offset,0.3087,0.256,0.3605
C,forced,goodness,impulsivity,offset,-0.1592,-0.216,-0.1038
C,forced,mathematical,assertiveness,offset,0.4479,0.3803,0.5145
C,forced,mathematical,empathy,offset,0.4554,0.3993,0.519
C,forced,mathematical,risk_taking,offset,0.3392,0.2953,0.386
C,forced,mathematical,honesty,offset,0.3544,0.2729,0.4332
C,forced,mathematical,confidence,offset,1.1244,1.0649,1.1836
C,forced,mathematical,deference,offset,0.0588,-0.0038,0.117
C,forced,mathematical,warmth,offset,0.4894,0.4252,0.5533
C,forced,mathematical,impulsivity,offset,-0.084,-0.1388,-0.032
C,forced,impulsiveness,assertiveness,offset,0.5443,0.434,0.6538
C,forced,impulsiveness,empathy,offset,0.8539,0.7522,0.9524
C,forced,impulsiveness,risk_taking,offset,2.4533,2.3642,2.5394
C,forced,impulsiveness,honesty,offset,0.9578,0.8338,1.0897
C,forced,impulsiveness,confidence,offset,1.4177,1.3144,1.522
C,forced,impulsiveness,deference,offset,-0.3518,-0.4571,-0.246
C,forced,impulsiveness,warmth,offset,0.9584,0.8564,1.0603
C,forced,impulsiveness,impulsivity,offset,3.1601,3.0371,3.2738
C,forced,misalignment,assertiveness,offset,-0.7175,-0.8547,-0.5869
C,forced,misalignment,empathy,offset,-0.3824,-0.5215,-0.256
C,forced,misalignment,risk_taking,offset,2.3687,2.2697,2.4724
C,forced,misalignment,honesty,offset,0.3733,0.1918,0.5568
C,forced,misalignment,confidence,offset,0.7018,0.5824,0.8116
C,forced,misalignment,deference,offset,0.0114,-0.1167,0.1399
C,forced,misalignment,warmth,offset,-0.2804,-0.3972,-0.168
C,forced,misalignment,impulsivity,offset,2.5153,2.3843,2.6527
C,forced,random_iid_s16,assertiveness,offset,1.5228,1.2893,1.764
C,forced,random_iid_s16,empathy,offset,1.5773,1.3515,1.7999
C,forced,random_iid_s16,risk_taking,offset,2.6784,2.4773,2.8806
C,forced,random_iid_s16,honesty,offset,2.8897,2.5947,3.183
C,forced,random_iid_s16,confidence,offset,2.4791,2.2629,2.6832
C,forced,random_iid_s16,deference,offset,0.912,0.7269,1.0991
C,forced,random_iid_s16,warmth,offset,1.9831,1.7958,2.1718
C,forced,random_iid_s16,impulsivity,offset,0.8762,0.6655,1.0797
C,forced,random_perm_s16,assertiveness,offset,1.1919,0.9715,1.4204
C,forced,random_perm_s16,empathy,offset,0.977,0.827,1.1295
C,forced,random_perm_s16,risk_taking,offset,1.5183,1.3199,1.7229
C,forced,random_perm_s16,honesty,offset,2.5607,2.2643,2.8614
C,forced,random_perm_s16,confidence,offset,0.7973,0.6134,0.9919
C,forced,random_perm_s16,deference,offset,0.3994,0.2255,0.5857
C,forced,random_perm_s16,warmth,offset,0.536,0.382,0.6949
C,forced,random_perm_s16,impulsivity,offset,0.3597,0.1175,0.5929
D,forced,misalignment,,contrast,2.491,2.3956,2.5958
D,forced,impulsiveness,,contrast,2.0767,1.989,2.1582
D,forced,random_iid_s16,,contrast,-0.1167,-0.2898,0.057
D,forced,random_perm_s16,,contrast,-0.138,-0.3162,0.036
D,forced,mathematical,,contrast,-0.3608,-0.4038,-0.3162
D,forced,goodness,,contrast,-0.3906,-0.4361,-0.3451
D,default,misalignment,,contrast,0.6681,0.6139,0.7249
D,default,impulsiveness,,contrast,0.6341,0.5665,0.7035
D,default,random_iid_s16,,contrast,-0.4827,-0.5391,-0.4297
D,default,random_perm_s16,,contrast,-0.2857,-0.3728,-0.2004
D,default,mathematical,,contrast,-0.9407,-1.0226,-0.8542
D,default,goodness,,contrast,-1.1638,-1.2308,-1.0933
